"Var1","Freq"
"12055",630
"12056",549
"12057",450
"12058",522
"12059",432
"12060",459
"12061",450
"12062",801
"12063",630
"12064",504
"12065",441
"12066",477
"12067",459
"12068",531
"12069",855
"12070",720
"12071",432
"12072",567
"12073",423
"12074",576
"12075",531
"12076",774
"12077",621
"12078",513
"12079",576
"12080",630
"12081",549
"12082",513
"12083",837
"12084",648
"12085",594
"12086",540
"12087",486
"12088",486
"12089",522
"12090",720
"12091",648
"12092",450
"12093",513
"12094",423
"12095",504
"12096",630
"12097",702
"12098",702
"12099",504
"12100",396
"12101",684
"12102",441
"12103",594
"12104",792
"12105",666
"12106",459
"12107",666
"12108",477
"12109",531
"12110",675
"12111",819
"12112",693
"12113",666
"12114",612
"12115",468
"12116",459
"12117",504
"12118",738
"12119",711
"12120",468
"12121",450
"12122",504
"12123",513
"12124",666
"12125",882
"12126",657
"12127",513
"12128",657
"12129",288
"12130",504
"12131",540
"12132",720
"12133",657
"12134",441
"12135",450
"12136",468
"12137",450
"12138",684
"12139",765
"12140",666
"12141",558
"12142",468
"12143",513
"12144",567
"12145",675
"12146",765
"12147",855
"12148",666
"12149",648
"12150",522
"12151",549
"12152",621
"12153",1008
"12154",450
"12155",531
"12156",531
"12157",486
"12158",423
"12159",585
"12160",810
"12161",540
"12162",531
"12163",414
"12164",585
"12165",522
"12166",540
"12167",648
"12168",585
"12169",522
"12170",531
"12171",486
"12172",468
"12173",630
"12174",765
"12175",468
"12176",531
"12177",567
"12178",459
"12179",603
"12180",594
"12181",657
"12182",486
"12183",486
"12184",459
"12185",432
"12186",567
"12187",540
"12188",711
"12189",540
"12190",558
"12191",432
"12192",576
"12193",540
"12194",630
"12195",792
"12196",756
"12197",594
"12198",693
"12199",603
"12200",585
"12201",801
"12202",756
"12203",630
"12204",729
"12205",549
"12206",405
"12207",441
"12208",666
"12209",657
"12210",531
"12211",531
"12212",405
"12213",414
"12214",477
"12215",486
"12216",693
"12217",621
"12218",414
"12219",369
"12220",486
"12221",567
"12222",558
"12223",549
"12224",594
"12225",468
"12226",495
"12227",585
"12228",540
"12229",576
"12230",648
"12231",666
"12232",549
"12233",585
"12234",558
"12235",702
"12236",720
"12237",855
"12238",504
"12239",621
"12240",612
"12241",495
"12242",459
"12243",540
"12244",612
"12245",639
"12246",477
"12247",477
"12248",432
"12249",495
"12250",513
"12251",720
"12252",603
"12253",477
"12254",414
"12255",495
"12256",504
"12257",540
"12258",738
"12259",612
"12260",432
"12261",360
"12262",486
"12263",513
"12264",729
"12265",783
"12266",720
"12267",585
"12268",495
"12269",486
"12270",414
"12271",477
"12272",567
"12273",603
"12274",468
"12275",585
"12276",468
"12277",504
"12278",594
"12279",666
"12280",531
"12281",495
"12282",666
"12283",594
"12284",558
"12285",468
"12286",702
"12287",567
"12288",585
"12289",432
"12290",432
"12291",657
"12292",603
"12293",720
"12294",729
"12295",666
"12296",603
"12297",684
"12298",531
"12299",621
"12300",765
"12301",540
"12302",576
"12303",549
"12304",477
"12305",450
"12306",468
"12307",630
"12308",549
"12309",558
"12310",522
"12311",432
"12312",468
"12313",441
"12314",729
"12315",585
"12316",522
"12317",576
"12318",396
"12319",639
"12320",441
"12321",657
"12322",585
"12323",387
"12324",531
"12325",540
"12326",450
"12327",585
"12328",585
"12329",729
"12330",594
"12331",540
"12332",405
"12333",549
"12334",450
"12335",702
"12336",639
"12337",396
"12338",441
"12339",432
"12340",459
"12341",477
"12342",594
"12343",738
"12344",387
"12345",432
"12346",441
"12347",459
"12348",585
"12349",657
"12350",702
"12351",468
"12352",558
"12353",486
"12354",549
"12355",477
"12356",711
"12357",783
"12358",423
"12359",468
"12360",540
"12361",477
"12362",450
"12363",711
"12364",657
"12365",486
"12366",558
"12367",504
"12368",549
"12369",549
"12370",738
"12371",567
"12372",675
"12373",639
"12374",621
"12375",477
"12376",612
"12377",720
"12378",684
"12379",729
"12380",765
"12381",675
"12382",216
"12383",423
"12384",513
"12385",522
"12386",495
"12387",513
"12388",414
"12389",441
"12390",477
"12391",675
"12392",675
"12393",450
"12394",441
"12395",450
"12396",432
"12397",432
"12398",603
"12399",648
"12400",558
"12401",495
"12402",513
"12403",540
"12404",459
"12405",810
"12406",621
"12407",558
"12408",504
"12409",720
"12410",693
"12411",720
"12412",9
"12413",513
"12414",477
"12415",378
"12416",450
"12417",621
"12418",918
"12419",405
"12420",540
"12421",567
"12422",531
"12423",459
"12424",450
"12425",603
"12426",621
"12427",648
"12428",423
"12429",477
"12430",567
"12431",549
"12432",504
"12433",819
"12434",657
"12435",522
"12436",450
"12437",486
"12438",504
"12439",486
"12440",657
"12441",693
"12442",585
"12443",504
"12444",432
"12445",486
"12446",657
"12447",747
"12448",855
"12449",441
"12450",549
"12451",495
"12452",558
"12453",702
"12454",792
"12455",738
"12456",756
"12457",414
"12458",477
"12459",441
"12460",558
"12461",729
"12462",765
"12463",594
"12464",405
"12465",558
"12466",504
"12467",675
"12468",639
"12469",603
"12470",693
"12471",612
"12472",423
"12473",558
"12474",495
"12475",675
"12476",855
"12477",630
"12478",468
"12479",513
"12480",495
"12481",549
"12482",612
"12483",738
"12484",567
"12485",459
"12486",531
"12487",531
"12488",477
"12489",783
"12490",738
"12491",531
"12492",369
"12493",540
"12494",567
"12495",459
"12496",621
"12497",702
"12498",612
"12499",540
"12500",504
"12501",459
"12502",495
"12503",666
"12504",666
"12505",621
"12506",630
"12507",576
"12508",603
"12509",666
"12510",900
"12511",531
"12512",459
"12513",567
"12514",405
"12515",576
"12516",504
"12517",711
"12518",675
"12519",477
"12520",504
"12521",486
"12522",495
"12523",450
"12524",621
"12525",576
"12526",486
"12527",540
"12528",441
"12529",522
"12530",558
"12531",594
"12532",711
"12533",522
"12534",540
"12535",522
"12536",414
"12537",549
"12538",657
"12539",720
"12540",522
"12541",513
"12542",450
"12543",531
"12544",603
"12545",765
"12546",594
"12547",432
"12548",531
"12549",477
"12550",486
"12551",513
"12552",765
"12553",621
"12554",585
"12555",513
"12556",567
"12557",621
"12558",540
"12559",675
"12560",765
"12561",378
"12562",630
"12563",495
"12564",585
"12565",603
"12566",648
"12567",657
"12568",576
"12569",639
"12570",369
"12571",513
"12572",567
"12573",639
"12574",603
"12575",495
"12576",414
"12577",468
"12578",513
"12579",540
"12580",666
"12581",594
"12582",522
"12583",441
"12584",342
"12585",576
"12586",477
"12587",576
"12588",612
"12589",567
"12590",504
"12591",531
"12592",477
"12593",594
"12594",567
"12595",747
"12596",540
"12597",450
"12598",540
"12599",558
"12600",648
"12601",684
"12602",648
"12603",540
"12604",648
"12605",387
"12606",477
"12607",567
"12608",558
"12609",567
"12610",486
"12611",414
"12612",513
"12613",495
"12614",468
"12615",702
"12616",621
"12617",495
"12618",531
"12619",522
"12620",432
"12621",702
"12622",558
"12623",648
"12624",486
"12625",432
"12626",522
"12627",504
"12628",594
"12629",675
"12630",801
"12631",495
"12632",594
"12633",486
"12634",540
"12635",405
"12636",666
"12637",648
"12638",477
"12639",423
"12640",468
"12641",450
"12642",522
"12643",603
"12644",648
"12645",450
"12646",387
"12647",513
"12648",630
"12649",450
"12650",693
"12651",558
"12652",558
"12653",477
"12654",459
"12655",567
"12656",477
"12657",639
"12658",603
"12659",693
"12660",540
"12661",486
"12662",522
"12663",657
"12664",702
"12665",567
"12666",594
"12667",549
"12668",468
"12669",558
"12670",378
"12671",657
"12672",612
"12673",423
"12674",594
"12675",396
"12676",486
"12677",594
"12678",648
"12679",684
"12680",540
"12681",558
"12682",513
"12683",432
"12684",612
"12685",558
"12686",684
"12687",432
"12688",378
"12689",495
"12690",540
"12691",576
"12692",558
"12693",774
"12694",594
"12695",495
"12696",432
"12697",576
"12698",486
"12699",531
"12700",702
"12701",540
"12702",513
"12703",450
"12704",657
"12705",540
"12706",666
"12707",576
"12708",450
"12709",405
"12710",387
"12711",603
"12712",405
"12713",630
"12714",576
"12715",531
"12716",441
"12717",522
"12718",621
"12719",639
"12720",783
"12721",765
"12722",549
"12723",522
"12724",495
"12725",576
"12726",468
"12727",720
"12728",567
"12729",378
"12730",396
"12731",522
"12732",486
"12733",576
"12734",783
"12735",558
"12736",441
"12737",585
"12738",585
"12739",594
"12740",783
"12741",720
"12742",558
"12743",648
"12744",612
"12745",738
"12746",252
"12747",333
"12748",522
"12749",603
"12750",540
"12751",477
"12752",459
"12753",594
"12754",522
"12755",657
"12756",792
"12757",522
"12758",513
"12759",387
"12760",648
"12761",540
"12762",594
"12763",666
"12764",495
"12765",459
"12766",468
