"Var1","Freq"
"8007925",50
"8007935",34
"8007942",125
"8007950",51
"8007980",55
"8007985",45
"8007991",95
"8007992",206
"8007995",136
"8008002",68
"8008014",191
"8008022",28
"8008055",67
"8008062",134
"8008081",119
"8008083",41
"8008096",32
"8008097",137
"8008129",57
"8008145",134
"8008155",155
"8008163",203
"8008164",283
"8008165",93
"8008173",112
"8008176",128
"8008179",32
"8008188",102
"8008190",193
"8008192",34
"8008201",47
"8008234",43
"8008235",116
"8008250",53
"8008268",107
"8008315",88
"8008317",13
"8008346",74
"8008350",42
"8008353",13
"8008358",77
"8008366",137
"8008415",121
"8008416",241
"8008420",155
"8008421",153
"8008426",114
"8008446",28
"8008457",132
"8008468",124
"8008469",108
"8008470",73
"8008475",195
"8008478",102
"8008495",110
"8008512",73
"8008529",152
"8008540",157
"8008564",143
"8008588",232
"8008589",108
"8008596",100
"8008597",67
"8008598",84
"8008617",45
"8008624",50
"8008636",147
"8008830",113
"8008838",60
"8008839",56
"8008853",157
"8008893",101
"8008899",112
"8008903",65
"8008908",124
"8008915",133
"8008921",100
"8008929",112
"8008934",139
"8008943",81
"8008969",82
"8008988",117
"8008993",76
"8009003",132
"8009009",219
"8009016",89
"8009026",106
"8009032",7
"8009045",113
"8009047",126
"8009056",111
"8009066",46
"8009073",115
"8009076",445
"8009088",36
"8009095",77
"8009108",104
"8009155",137
"8009169",119
"8009170",142
"8009172",145
"8009187",66
"8009188",80
"8009192",112
"8009196",19
"8009201",157
"8009213",110
"8009218",38
"8009225",77
"8009230",118
"8009246",157
"8009253",267
"8009261",107
"8009288",83
"8009289",105
"8009296",86
"8009302",111
"8009311",169
"8009312",80
"8009320",164
"8009329",80
"8009342",51
"8009347",80
"8009348",243
"8009358",74
"8009398",59
"8009413",97
"8009415",82
"8009418",88
"8009446",112
"8009447",70
"8009470",90
"8009476",111
"8009485",98
"8009489",84
"8009490",99
"8009496",77
"8009499",83
"8009514",133
"8009517",60
"8009522",46
"8009529",75
"8009535",80
"8009542",53
"8009551",174
"8009553",102
"8009557",74
"8009563",181
"8009567",165
"8009570",37
"8009572",120
"8009574",135
"8009584",166
"8009592",68
"8009597",139
"8009598",119
"8009616",292
"8009637",49
"8009639",87
"8009654",73
"8009661",86
"8009663",357
"8009678",98
"8009695",92
"8009696",69
"8009699",118
"8009702",90
"8009707",160
"8009708",88
"8009715",136
"8009720",109
"8009727",196
"8009732",120
"8017593",39
"8017611",71
"8017614",50
"8017617",86
"8017630",85
"8017659",41
"8017732",68
"8017750",184
"8017766",296
"8017783",122
"8017799",48
"8017804",62
"8017806",69
"8017813",108
"8017827",89
"8017828",127
"8017835",42
"8017837",139
"8017839",71
"8017842",104
"8017846",153
"8017853",109
"8017857",73
"8017883",81
"8017910",109
"8017915",11
"8017920",29
"8017932",112
"8017939",87
"8017941",176
"8017950",28
"8017952",15
"8017996",109
"8017998",94
"8018026",76
"8018035",58
"8018146",132
"8018169",155
"8018171",113
"8018186",133
"8018198",100
"8018209",56
"8018215",43
"8018220",114
"8018245",41
"8018247",128
"8018249",99
"8018268",137
"8018273",79
"8018310",56
"8018311",124
"8018317",83
"8018338",76
"8018348",91
"8018349",107
"8018366",37
"8018383",137
"8018391",61
"8018398",115
"8018461",64
"8018470",7
"8018474",114
"8018479",42
"8018487",64
"8018495",347
"8018507",124
"8018514",85
"8018518",160
"8018523",9
"8018533",74
"8018595",133
"8018622",27
"8018624",42
"8018634",89
"8018648",49
"8018651",23
"8018663",81
"8018667",95
"8018695",50
"8018710",19
"8018806",46
"8018809",49
"8018817",82
"8018826",16
"8018828",92
"8018850",49
"8018869",95
"8018902",56
"8018920",60
"8018930",165
"8018935",54
"8018947",125
"8018968",90
"8018979",91
"8018986",168
"8019022",157
"8019029",101
"8019030",66
"8019033",137
"8019045",85
"8019046",52
"8019068",174
"8019073",85
"8019088",99
"8019135",74
"8019151",151
"8019155",144
"8019157",42
"8019159",104
"8019170",133
"8019174",152
"8019181",98
"8019191",147
"8019192",82
"8019201",47
"8019220",139
"8019223",158
"8019234",185
"8019244",87
"8019247",93
"8019255",152
"8019267",215
"8019268",194
"8019269",115
"8019271",138
"8019277",79
"8019280",125
"8019284",10
"8019300",49
"8019315",150
"8019317",97
"8019332",71
"8019341",115
"8019349",7
"8019351",84
"8019372",102
"8019374",16
"8019378",125
"8019389",127
"8019392",115
"8019409",74
"8019419",107
"8019437",60
"8019442",78
"8019448",136
"8019452",91
"8019458",80
"8019459",14
"8019480",190
"8019489",128
"8019525",46
"8019536",114
"8019537",172
"8019539",74
"8019546",69
"8019563",17
"8019574",20
"8019592",63
"8019667",112
"8019832",177
"8019843",26
"8019888",176
"8019916",35
"8019932",95
"8020017",40
"8020083",40
"8020164",35
"8020321",101
"8020338",47
"8029697",148
"8029709",96
"8029711",36
"8029790",171
"8029791",90
"8029797",59
"8029820",32
"8029832",99
"8029866",79
"8029871",12
"8029877",102
"8029885",107
"8029972",56
"8029986",72
"8029992",89
"8030012",68
"8030024",34
"8030047",63
"8030113",92
"8030132",86
"8030164",193
"8030165",58
"8030167",134
"8030202",94
"8030350",109
"8030370",154
"8030385",131
"8030395",66
"8030412",38
"8030471",179
"8030540",133
"8030552",70
"8030569",71
"8030590",208
"8030655",72
"8030683",141
"8030796",106
"8030807",72
"8030847",122
"8030852",93
"8030881",64
"8030882",139
"8030900",89
"8030935",91
"8030953",35
"8030961",92
"8031024",105
"8031031",151
"8031246",24
"8031258",31
"8031273",77
"8031344",23
"8031371",64
"8031388",48
"8031390",114
"8031397",139
"8031444",15
"8031447",97
"8031505",42
"8031507",103
"8031535",106
"8031589",208
"8031647",95
"8031654",124
"8031668",90
"8031670",27
"8031674",44
"8031681",93
"8031686",121
"8031705",27
"8031746",83
"8031755",73
"8031773",77
"8031786",26
"8031834",130
"8031877",48
"8031901",43
"8031916",88
"8031922",50
"8032041",150
"8032048",93
"8032067",123
"8032084",37
"8032119",20
"8032135",29
"8032138",61
"8032159",14
"8032186",44
"8032198",95
"8032199",81
"8032200",25
"8032231",27
"8032290",193
"8032303",21
"8032342",234
"8032361",62
"8032381",110
"8032454",14
"8032463",52
"8032478",263
"8032536",39
"8032540",285
"8039568",76
"8039656",82
"8039680",29
"8039724",29
"8039742",37
"8039745",57
"8039774",99
"8039775",2
"8039794",56
"8039800",110
"8039807",88
"8039815",50
"8039822",47
"8039827",77
"8039835",42
"8039841",71
"8039871",49
"8039875",72
"8039882",186
"8041712",50
"8041720",35
"8043265",46
"8043272",45
"8044110",17
"8044347",32
"8044352",61
"8044372",105
"8044380",72
"8055142",88
"8055148",22
"8055165",66
"8055942",134
"8058324",115
"8058392",33
"8061117",39
"8062821",44
"8071968",12
"8090306",21
"8094903",155
"8104250",77
"8108362",55
"8113085",89
"8113089",34
"8113094",141
"8116888",44
"8117142",50
"8117990",21
"8121087",15
"8121312",16
"8124991",17
"9002852",90
"9062465",116
"9062482",44
"9064019",80
"9064059",68
"9064093",86
"9066810",104
"9066843",47
"9069875",87
"9072792",128
"9076678",84
"9081104",106
"9081113",100
"9084092",119
"9084148",66
"9088498",30
"9091158",124
"9091159",134
"9091793",34
"9091851",25
"9092355",62
"9094556",39
"9097937",122
"9099063",14
"9104970",196
"9106274",56
"9106276",59
"9150185",113
"9152258",74
