"V1","statistic","alternative_dummy_1","alternative_dummy_2","alternative_dummy_3","alternative_dummy_4","alternative_dummy_5","alternative_dummy_6","alternative_dummy_7","alternative_dummy_8","price","feature"
"Model 1","Mean",-1.92201149408257,-1.54756667705961,-2.22818885663777,-1.31405313511605,-1.53561985969594,-2.09474387408509,-1.10077092227593,-2.64381139962086,-24.5716144384495,NA
"Model 1","Lower",-2.38127769086833,-1.96043631684276,-2.69117665866451,-1.81865015360994,-1.98513887758525,-2.55276941524346,-1.55163183450719,-3.15341221466727,-28.0971196444958,NA
"Model 1","Upper",-1.44367779156589,-1.10980896790703,-1.73921840897578,-0.80423692513434,-1.07282315788542,-1.6103526786335,-0.645220739001832,-2.12603733214322,-21.1680141327076,NA
"Model 1A","Mean",-2.98139820738509,-2.54790226901331,-3.27906085920157,-2.52030795790626,-2.62825801999223,-3.2914628618113,-2.19959919980096,-3.76831981900545,-16.1832636707747,NA
"Model 1A","Lower",-3.12772003026338,-2.71920100943151,-3.49279569561875,-2.76978887297035,-2.82931829985828,-3.54065437766347,-2.43120447113502,-3.86463644937035,-19.6866559879786,NA
"Model 1A","Upper",-2.47006679288613,-2.16124153802018,-2.8372988604969,-1.93147591436745,-2.06706825316049,-2.75178418977211,-1.75275176156874,-3.23138394194034,-14.5188029408769,NA
"Model 2","Mean",-2.18298356376706,-1.78903861325876,-2.49089433177898,-1.60973839349903,-1.81263085526019,-2.36130226410291,-1.37264768093779,-2.9167085802598,-22.6962736088628,0.297694437251327
"Model 2","Lower",-2.62748695390833,-2.20709718393988,-2.93640425490886,-2.10998965472463,-2.25604539793305,-2.83487226751216,-1.83119301479214,-3.41608750419932,-26.2998243613364,0.141607842737621
"Model 2","Upper",-1.69974804174491,-1.32968700700206,-1.98852669052583,-1.07547643673357,-1.32696721087473,-1.88181993850712,-0.888888534548161,-2.37949633745077,-19.351764973305,0.445512984919686
"Model 2A","Mean",-3.50235716313829,-2.95248644412698,-3.72239359468619,-3.03593137719276,-3.0528289568004,-3.60095453592759,-2.61851915030799,-4.25545556298523,-13.1652273644156,0.443799509553516
"Model 2A","Lower",-3.8547619294769,-3.22268019642498,-4.01180808430225,-3.36061419185923,-3.27452391358617,-3.91834899050697,-2.85881928967816,-4.47340750707906,-18.0142821579941,0.249152477493164
"Model 2A","Upper",-2.8831625578032,-2.32414307061225,-3.06041625619757,-2.25850754576088,-2.44540904027854,-2.93933272281044,-1.95144783821695,-3.58435352101327,-11.1807209288096,0.486107963685006
